congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
115,Senate,20735,13,0,NY,100,,,"GILLIBRAND, Kirsten",G000555,1966,,-0.359,0.07,-89.0033,0.62287,188,42,1
115,Senate,29548,47,0,NC,200,,,"BURR, Richard M.",B001135,1955,,0.453,-0.057,-3.46781,0.98102,181,0,1
115,Senate,41504,47,0,NC,200,,,"TILLIS, Thomas Roland (Thom)",T000476,1960,,0.432,-0.017,-2.61662,0.98557,180,0,1
115,Senate,41107,36,0,ND,200,,,"HOEVEN, John",H001061,1957,,0.338,0.335,-3.32703,0.98237,187,1,1
115,Senate,41303,36,0,ND,100,,,"HEITKAMP, Mary Kathryn (Heidi)",H001069,1955,,-0.128,0.393,-27.31197,0.86478,188,10,1
115,Senate,29386,24,0,OH,200,,,"PORTMAN, Robert Jones (Rob)",P000449,1955,,0.375,-0.257,-15.64134,0.91976,187,5,1
115,Senate,29389,24,0,OH,100,,,"BROWN, Sherrod",B000944,1952,,-0.439,-0.144,-29.86915,0.8531,188,12,1
115,Senate,15424,53,0,OK,200,,,"INHOFE, James Mountain",I000024,1934,,0.551,0.036,-6.27151,0.96702,187,2,1
115,Senate,21166,53,0,OK,200,,,"LANKFORD, James",L000575,1968,,0.565,0.16,-7.62659,0.96024,188,5,1
115,Senate,14871,72,0,OR,100,,,"WYDEN, Ronald Lee",W000779,1949,,-0.315,-0.41,-38.89792,0.8122,187,17,1
115,Senate,40908,72,0,OR,100,,,"MERKLEY, Jeff",M001176,1956,,-0.451,-0.772,-23.44501,0.88217,187,13,1
115,Senate,29935,14,0,PA,200,,,"TOOMEY, Patrick Joseph",T000461,1961,,0.63,-0.292,-7.12643,0.9616,182,3,1
115,Senate,40703,14,0,PA,100,,,"CASEY, Robert (Bob), Jr.",C001070,1960,,-0.295,0.194,-18.25297,0.90747,188,7,1
115,Senate,29142,5,0,RI,100,,,"REED, John F. (Jack)",R000122,1949,,-0.389,-0.253,-21.47717,0.89204,188,9,1
115,Senate,40704,5,0,RI,100,,,"WHITEHOUSE, Sheldon",W000802,1955,,-0.422,-0.251,-19.71732,0.90043,188,8,1
115,Senate,21173,48,0,SC,200,,,"SCOTT, Tim",S001184,1965,,0.667,-0.004,-6.51654,0.96575,187,4,1
115,Senate,29566,48,0,SC,200,,,"GRAHAM, Lindsey O.",G000359,1955,,0.409,-0.175,-12.97328,0.92971,178,6,1
115,Senate,29754,37,0,SD,200,,,"THUNE, John",T000250,1961,,0.409,0.127,-4.54347,0.97612,188,2,1
115,Senate,41505,37,0,SD,200,,,"ROUNDS, Marion Michael (Mike)",R000605,1954,,0.377,0.056,-2.84588,0.98498,188,0,1
115,Senate,40304,54,0,TN,200,,,"ALEXANDER, Lamar",A000360,1940,,0.323,-0.183,-6.17638,0.96645,181,1,1
115,Senate,40705,54,0,TN,200,,,"CORKER, Robert (Bob)",C001071,1952,,0.392,-0.332,-20.07941,0.89767,186,8,1
115,Senate,40305,49,0,TX,200,,,"CORNYN, John",C001056,1952,,0.497,-0.014,-4.50262,0.97633,188,2,1
115,Senate,41304,49,0,TX,200,,,"CRUZ, Rafael Edward (Ted)",C001098,1970,,0.86,-0.322,-14.89966,0.92222,184,5,1
115,Senate,14503,67,0,UT,200,,,"HATCH, Orrin Grant",H000338,1934,,0.382,-0.006,-6.96574,0.96363,188,3,1
115,Senate,41110,67,0,UT,200,,,"LEE, Mike",L000577,1971,,0.919,-0.394,-17.68665,0.90975,187,8,1
115,Senate,14307,6,0,VT,100,,,"LEAHY, Patrick Joseph",L000174,1940,,-0.374,-0.14,-17.41447,0.9097,184,5,1
115,Senate,29147,6,0,VT,328,,,"SANDERS, Bernard",S000033,1941,,-0.513,-0.314,-27.66738,0.85897,182,14,1
115,Senate,40909,40,0,VA,100,,,"WARNER, Mark",W000805,1954,,-0.196,-0.021,-28.66555,0.85574,184,12,1
115,Senate,41305,40,0,VA,100,,,"KAINE, Timothy Michael (Tim)",K000384,1958,,-0.231,-0.11,-22.8243,0.88393,185,9,1
115,Senate,39310,73,0,WA,100,,,"CANTWELL, Maria E.",C000127,1958,,-0.288,-0.401,-13.07978,0.93209,186,2,1
115,Senate,49308,73,0,WA,100,,,"MURRAY, Patty",M001111,1950,,-0.341,-0.296,-14.34762,0.92652,188,3,1
115,Senate,20146,56,0,WV,200,,,"CAPITO, Shelley Moore",C001047,1953,,0.258,0.051,-9.54506,0.94971,185,3,1
115,Senate,40915,56,0,WV,100,,,"MANCHIN, Joe, III",M001183,1947,,-0.063,0.457,-33.23643,0.83796,188,17,1
115,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",B001230,1962,,-0.54,-0.255,-37.29714,0.82005,188,19,1
115,Senate,41111,25,0,WI,200,,,"JOHNSON, Ron",J000293,1955,,0.594,-0.328,-5.20315,0.97256,187,1,1
115,Senate,40707,68,0,WY,200,,,"BARRASSO, John A.",B001261,1952,,0.528,0.225,-4.32561,0.97713,187,2,1
115,Senate,49706,68,0,WY,200,,,"ENZI, Michael B.",E000285,1944,,0.538,0.175,-7.4412,0.96119,188,5,1
